request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_56,833.02,affordable_with_plan,partial_payment,2025-02-03:833.02|2025-02-15:48.54,2025-02-15,none,"Pay USD 833.02 today and the remaining USD 48.54 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,15938.40,affordable_later,wait,2026-05-15:61446,2026-05-15,none,"Pay ZAR 61,446 in full on 15 May 2026. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This leaves at least USD 400 available over the next 90 days.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,72773.31,affordable_with_plan,partial_payment,2026-07-07:72773.31|2026-09-15:271126.69,2026-09-15,none,"Pay INR 72,773.31 today and the remaining INR 271,126.69 on 15 September 2026. This completes the full request and keeps the INR 153,500 minimum protected."
request_64,55295.07,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,"Use 3 installments of INR 22,082.67, starting 11 June 2024. This leaves at least INR 36,100 available."
request_65,8784.23,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 8,784.23 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,675.16,affordable_later,wait,2024-10-15:2094,2024-10-15,none,"Pay USD 2,094 in full on 15 October 2024. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1688.78,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,81472.72,affordable_later,wait,2025-01-15:243900,2025-01-15,none,"Pay INR 243,900 in full on 15 January 2025. Paying earlier would take the balance below the INR 115,000 minimum."
request_71,2821527.73,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 2,821,527.73 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,1371.68,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 4,455.60 request. Although USD 1,371.68 is available today, the full amount cannot be completed safely within 90 days."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200 today. This leaves at least INR 55,200 available over the next 90 days."
request_79,964.82,affordable_with_plan,partial_payment,2024-09-04:964.82|2024-10-15:1186.78,2024-10-15,none,"Pay EUR 964.82 today and the remaining EUR 1,186.78 on 15 October 2024. This completes the full request and keeps the EUR 1,000 minimum protected."
request_80,143465,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,500 request. Although INR 143,465 is available today, the full amount cannot be completed safely within 90 days."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,775.32,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,405.20 request. Although USD 775.32 is available today, the full amount cannot be completed safely within 90 days."
request_83,10422.69,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Although INR 10,422.69 is available today, the full amount cannot be completed safely within 90 days."
request_84,39682.57,affordable_later,wait,2026-04-15:95400,2026-04-15,none,"Pay INR 95,400 in full on 15 April 2026. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,1563637.46,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 1,563,637.46 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,15557.89,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,13298367.12,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,959.26,affordable_later,wait,2024-09-15:1927.20,2024-09-15,none,"Pay EUR 1,927.20 in full on 15 September 2024. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,78275.81,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 78,275.81 is available today, the full amount cannot be completed safely within 90 days."
request_96,90200,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-03,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,6787.42,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,14537.66,affordable_later,wait,2025-08-15:27148,2025-08-15,none,"Pay ZAR 27,148 in full on 15 August 2025. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,32259.64,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,27673.92,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 27,673.92 is available today, the full amount cannot be completed safely within 90 days."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days."
request_106,781.78,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,"Pay EUR 2,207.70 in full on 15 January 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,4262.58,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 55,308 request. Although ZAR 4,262.58 is available today, the full amount cannot be completed safely within 90 days."
request_109,1068.89,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,"Pay INR 36,500 today. This leaves at least INR 82,300 available over the next 90 days."
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Pay INR 65,300 today. This leaves at least INR 113,400 available over the next 90 days."
request_115,23887.70,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Pay INR 80,500 in full on 15 October 2024. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,40065.70,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 40,065.70 is available today, the full amount cannot be completed safely within 90 days."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,538.01,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 738.10 request. Although EUR 538.01 is available today, the full amount cannot be completed safely within 90 days."
request_119,60199.13,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 18 May 2025. This leaves at least INR 151,200 available."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1893.43,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 today. This leaves at least ZAR 11,300 available over the next 90 days."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 October 2024. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,233,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 233 is available today, the full amount cannot be completed safely within 90 days."
request_130,722.13,affordable_later,wait,2024-12-15:1978.80,2024-12-15,none,"Pay USD 1,978.80 in full on 15 December 2024. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1550.63,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 today. This leaves at least USD 1,100 available over the next 90 days."
request_133,15770000,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15,770,000 request. Although IDR 15,770,000 is available today, the full amount cannot be completed safely within 90 days."
request_134,8765160.74,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,"Pay IDR 21,831,000 in full on 15 September 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,304.80,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Pay USD 560.40 today. This leaves at least USD 1,100 available over the next 90 days."
request_137,50195.53,affordable_later,wait,2025-11-15:80100,2025-11-15,none,"Pay INR 80,100 in full on 15 November 2025. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,1256.94,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-07,none,"Use 3 installments of EUR 435.74, starting 7 April 2026. This leaves at least EUR 2,300 available."
request_139,1992.53,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1,500 available."
request_140,8334.32,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 8,334.32 is available today, the full amount cannot be completed safely within 90 days."
request_141,35205.78,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 35,205.78 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,4983.17,affordable_later,wait,2025-06-15:12584,2025-06-15,none,"Pay ZAR 12,584 in full on 15 June 2025. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,79035.99,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 217,400 request. Although INR 79,035.99 is available today, the full amount cannot be completed safely within 90 days."
request_146,17082.41,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 17,082.41 is available today, the full amount cannot be completed safely within 90 days."
request_147,657.68,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,13181.08,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available."
request_149,31982.40,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,436.20,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 6 January 2026. This leaves at least EUR 700 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,13882,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-05,none,"Use 3 installments of ZAR 4,812.43, starting 12 February 2025. This leaves at least ZAR 11,900 available."
request_153,381.36,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 381.36 is available today, the full amount cannot be completed safely within 90 days."
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,13426.03,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Pay ZAR 43,076 in full on 15 May 2026. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,7687735.32,affordable_later,wait,2024-03-15:23503000,2024-03-15,none,"Pay IDR 23,503,000 in full on 15 March 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,862.25,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,7127697.60,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 7,127,697.60 is available today, the full amount cannot be completed safely within 90 days."
request_163,17545855.67,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 17,545,855.67 is available today, the full amount cannot be completed safely within 90 days."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,49380,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 49,380 request. Although INR 49,380 is available today, the full amount cannot be completed safely within 90 days."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,36936000,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-06,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,110.53,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 110.53 is available today, the full amount cannot be completed safely within 90 days."
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5,304, starting 5 June 2024. This leaves at least ZAR 27,200 available."
request_173,81256.05,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-11-15,none,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,505.98,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request. Although EUR 505.98 is available today, the full amount cannot be completed safely within 90 days."
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,16403228.43,affordable_later,wait,2025-06-15:41648000,2025-06-15,none,"Pay IDR 41,648,000 in full on 15 June 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,950.18,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Although USD 950.18 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,26866000,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-07,none,"Use 3 installments of IDR 9,313,546.67, starting 10 April 2026. This leaves at least IDR 11,878,300 available."
request_184,26543.54,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 26,543.54 is available today, the full amount cannot be completed safely within 90 days."
